Date,Open,High,Low,Close,Adj Close,Volume
31-08-2007,58.299999,59.900002,57.299999,59.049999,49.994106,419102
03-09-2007,59.799999,60.599998,59.200001,59.849998,50.67141,333182
04-09-2007,59.900002,60.299999,59,59.150002,50.078766,329429
05-09-2007,59.049999,62.799999,59.049999,60.799999,51.475719,797754
06-09-2007,60.799999,62.5,60.099998,61.849998,52.364685,779415
07-09-2007,62.900002,63.950001,59.5,59.75,50.58675,494102
10-09-2007,58.25,61,58.25,59.099998,50.458675,479083
11-09-2007,59,60.400002,58.25,58.599998,50.031796,188134
12-09-2007,59.5,59.5,58.299999,58.5,49.946407,114476
13-09-2007,59,60.900002,58.5,58.900002,50.287926,283608
14-09-2007,61,61,57.650002,58,49.519524,266854
17-09-2007,58.700001,58.700001,56.700001,58.299999,49.775658,206891
18-09-2007,58.099998,60.25,57.799999,60.049999,51.269779,198891
19-09-2007,59.599998,63.400002,59.5,62.099998,53.020046,771993
20-09-2007,62.049999,62.5,60.099998,60.299999,51.483227,188678
21-09-2007,55.650002,64.400002,55.650002,62.150002,53.062725,967297
24-09-2007,63.5,65.699997,62.599998,63.700001,54.386093,970093
25-09-2007,65.800003,65.800003,60.450001,64.400002,54.983742,798713
26-09-2007,66,69.699997,63,63.849998,54.514156,2219308
27-09-2007,64.199997,68.349998,64.199997,67.849998,57.929302,1756575
28-09-2007,62.650002,68.5,62.650002,65.75,56.136349,654686
01-10-2007,59.400002,66.949997,59.400002,64.800003,55.325253,395177
03-10-2007,65.050003,66.849998,61.5,64,54.642216,877729
04-10-2007,64.949997,64.949997,61.799999,62.049999,52.977348,419828
05-10-2007,63.950001,64,61,61.349998,52.379696,285450
08-10-2007,63,63,59.450001,59.900002,51.14172,426201
09-10-2007,55.25,60.75,55.25,60,51.227085,394973
10-10-2007,61.150002,63,59.299999,59.599998,50.885578,383557
11-10-2007,60.900002,61,58.5,59.650002,50.928265,203902
12-10-2007,58.650002,60.950001,58.099998,59.049999,50.415993,304866
15-10-2007,57,59.950001,57,59.049999,50.415993,288694
16-10-2007,59.099998,59.450001,57.75,58,49.519524,568189
17-10-2007,56.900002,57.900002,53,56.599998,48.324223,513201
18-10-2007,58.099998,60,57,57.5,49.092621,711851
19-10-2007,57.099998,57.5,54.5,54.900002,46.872791,407563
